App Name,App ID,Final,Running Result,Install Result,Remarks,App Category,Developer,App Version,Updated Date,Crash log,Camera_p
Hexa Away,jp.co.goodroid.hyper.hexaaway,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Yazy the yatzy dice game,com.fiogonia.yatzy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Match Match Match!,com.fiogonia.mmm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Circle K,com.circlek.gmap.na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Screw Master 3D: Pin Puzzle,com.dcjnmed.jifqq,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Arby's Fast Food Sandwiches,com.arbys.android.arbysapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AARP Now,com.aarp.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
My Straight Talk: Mobile App,com.tracfone.straighttalk.myaccount,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Truth Social,com.truthsocial.android.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Balloon Master 3D:Triple Match,com.balloon.master.cube.match,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Domino Legends: Classic Game,com.playvalve.dominoes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Easy Homescreen,easy.launcher,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BET+,com.viacom.betplus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Local News: Breaking & Latest,com.novanews.localnews.en,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chai: Chat AI Platform,com.Beauchamp.Messenger.external,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zangi Private Messenger,com.beint.zangi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Easy Words - Word Puzzle Games,com.easybrain.word.puzzle.game,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Link to Windows,com.microsoft.appmanager,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Local News: Headlines & Alerts,com.opera.app.news.local,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100+ Offline Games No WiFi Fun,com.media720.games2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ShutEyeÃÂ®: Sleep Tracker,health.sleep.sounds.tracker.alarm.calm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Clue Master - Logic Puzzles,com.luwukmeliana.lexicard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Screw Pin Out!,com.screwout.nutsjam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Room Sort - Floor Plan Game,com.gamincat.roomsort,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMC+,com.amcplus.amcfullepisodes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mech Arena - Shooting Game,com.plarium.mechlegion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CoinSnap - Coin Identifier,com.coinidentifyer.ai,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Car Jam,car.jam.traffic.seat.unblock,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Last Z: Survival Shooter,com.readygo.barrel.gp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Truck Star,com.vm3.global,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Shanghai Mahjongg,com.mahjong.op.gp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Music Player & MP3 - MMusic,com.musicplayer.mp3.audio.mymusic.player,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cup Heroes,com.studio501.cuphero,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Candy Crush Solitaire,com.king.apps.candysolitaire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Acorns: Invest For Your Future,com.acorns.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Survivor.io,com.dxx.firenow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bowmasters: Archery Shooting,com.playgendary.bowmasters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Truist Mobile,com.truist.mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lands of Jail,com.justgame.jails,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bubble Shooter! Extreme,bubble.shooter.exxtreme,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Perfect Tidy,com.abi.perfect.tidy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hidden Spots - Objects Game,com.easybrain.hidden.spots,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Screw Sort 3D,screw.sort.match.jam.puzzle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Colorwood Sort Puzzle Game,games.burny.color.sort.woody.puzzle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Idle Zombie Miner: Gold Tycoon,com.zombie.idleminertycoon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire Master!,solitaire.classic.hungrystudio.free.klondike.card.patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
