App Name,App ID,App Version,Install Result,Launch Result,Comment
Aetna Health,com.aetna.aetnahealth ,7.27.0.96450-prod ,PASS ,PASS ,nan
Skip-Bo: Solitaire Card Game,com.mattel163.skipbo ,1.9.6890 ,PASS ,PASS ,nan
Tile Family®:Match Puzzle Game,com.tile.match.blockpuzzle ,1.72.4 ,PASS ,PASS ,nan
Capybara Go!,com.habby.capybara ,1.5.4 ,PASS ,PASS ,nan
Hearts - Card Game Classic,com.fiogonia.hearts ,2.0.0 ,PASS ,PASS ,nan
The Tower - Idle Tower Defense,com.TechTreeGames.TheTower ,26.0.12 ,PASS ,PASS ,nan
PBS KIDS Video,org.pbskids.video ,7.1.3 ,PASS ,PASS ,nan
Daily Forecast: Weather&Radar,com.daily.forecast.weather.radar ,2.3.35 ,PASS ,PASS ,nan
QR & Barcode Scanner Launcher,com.qr.code.reader.scanner.qrscan.android ,2.33.0 ,PASS ,PASS ,nan
Wordle!,com.vottzapps.wordle ,2.0.1 ,PASS ,PASS ,nan
Weather Now Launcher - Radar,com.eet.weather.launcher ,NA ,FAIL ,NA ,Not compatible with this version
Pray.com: Bible & Daily Prayer,com.prayapp.client ,2.108.1 ,PASS ,PASS ,nan
Beatstar - Touch Your Music,com.spaceapegames.beatstar ,36.0.0.8543 ,PASS ,PASS ,nan
"Sereal+ Short Drama, TV Series",com.sereal.short.app ,1.72.0 ,PASS ,PASS ,nan
Jackpotland-Vegas Casino Slots,com.slots.free.vegas.casino.jackpotland ,2.8.0 ,PASS ,PASS ,nan
Cryptoscapes - Brain Word Game,com.insbraingames.cryptoscapes.gp ,1.20.1 ,PASS ,PASS ,nan
Visual Voicemail,com.metropcs.service.vvm ,11.5.0.684425 ,PASS ,PASS ,nan
"Hard Rock Bet: Betting, Casino",com.hardrockdigital.client ,1.37.0 ,PASS ,PASS ,nan
Annoying Uncle Punch Game,com.gtsy.annoying.punch.game ,0.2.9 ,PASS ,PASS ,nan
Tile Explorer - Triple Match,com.oakever.tiletrip ,1.31.2 ,PASS ,PASS ,nan
Bricks n Balls,com.peoplefun.bricksnballs ,3.32.3 ,PASS ,PASS ,nan
Crossmath - Math Puzzle Games,math.puzzle.games.crossmath.number.puzzles.free ,3.11.2 ,PASS ,PASS ,nan
Easy Words - Word Puzzle Games,com.easybrain.word.puzzle.game ,2.0.0 ,PASS ,PASS ,nan
Sonos,com.sonos.acr2 ,80.17.09-release+20250220.d797378 ,PASS ,PASS ,nan
GTA: San Andreas  NETFLIX,com.netflix.NGP.GTASanAndreasDefinitiveEdition ,1.86.44544238 ,PASS ,PASS ,nan
Tile Club - Match Puzzle Game,com.gamovation.tileclub ,2.8.1 ,PASS ,PASS ,nan
Question.AI - Chatbot&Math AI,com.qianfan.aihomework ,NA ,FAIL ,NA ,Not compatible with this version
JustFit - Lazy Workout,fitness.home.workout.weight.loss ,1.5.8 ,PASS ,PASS ,nan
One State RP - Role Play Life,com.Chillgaming.oneState ,0.42.0 ,PASS ,PASS ,nan
My Supermarket Simulator 3D,com.playspare.supermarket.store.simulator ,1.8.33 ,PASS ,PASS ,nan
Woodber - Classic Number Game,and.lihuhu.woober ,2.7.1 ,PASS ,PASS ,nan
Mystery Matters,com.playrix.mysterymatters ,NA ,FAIL ,NA ,Not compatible with this version
Eatventure,com.hwqgrhhjfd.idlefastfood ,1.33.2 ,PASS ,PASS ,nan
Coffee Mania - Sorting Jam,com.nopegames.coffeemania ,1.0.2.0 ,PASS ,PASS ,nan
Skincare Time: Makeover ASMR,com.fc.p.gp.skincare.makeup.makeover.asmr.game ,0.3.1 ,PASS ,PASS ,nan
Merge Gardens,com.futureplay.mergematch ,1.37.4 ,PASS ,PASS ,nan
Puzzles & Chaos: Frozen Castle,com.global.pnck ,1.64.00 ,PASS ,PASS ,nan
U-Haul,com.uhaul.android.myuhaul ,NA ,FAIL ,NA ,Not compatible with this version
